job_title,job_detail_url,job_listed,company_name,company_link,company_location
Sr. Social Media Content Creator - - Remote | WFH,https://www.linkedin.com/jobs/view/sr-social-media-content-creator-remote-wfh-at-get-it-recruit-marketing-3938478124?refId=lSbqF1TWSgjzhKwQLOTGVQ%3D%3D&trackingId=QN7xsngRrIM52Bt3MbiSVw%3D%3D&position=3&pageNum=38&trk=public_jobs_jserp-result_search-card,1 week ago,Get It Recruit - Marketing,https://www.linkedin.com/company/get-it-recruit-marketing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Sunnyvale, CA"
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-plexus-resource-solutions-3940944303?refId=lSbqF1TWSgjzhKwQLOTGVQ%3D%3D&trackingId=6jdFWrXjwBi5ajgDwsCoLg%3D%3D&position=6&pageNum=38&trk=public_jobs_jserp-result_search-card,1 week ago,Plexus Resource Solutions,https://uk.linkedin.com/company/plexus-resource-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Social Media Agent,https://www.linkedin.com/jobs/view/social-media-agent-at-xtalk-prep-3937584428?refId=lSbqF1TWSgjzhKwQLOTGVQ%3D%3D&trackingId=TJP9XtLcTLvfUQ4oiMip0Q%3D%3D&position=11&pageNum=38&trk=public_jobs_jserp-result_search-card,1 week ago,XTalk Prep,https://www.linkedin.com/company/xtalkprep?trk=public_jobs_jserp-result_job-search-card-subtitle,"Santa Ana, CA"
"Social Media Manager, Vacation Rentals, Part-time",https://www.linkedin.com/jobs/view/social-media-manager-vacation-rentals-part-time-at-better-talent-3937724945?refId=lSbqF1TWSgjzhKwQLOTGVQ%3D%3D&trackingId=77vDFR07i559jjM8Ih91vA%3D%3D&position=15&pageNum=38&trk=public_jobs_jserp-result_search-card,1 week ago,Better Talent,https://www.linkedin.com/company/bettertalent?trk=public_jobs_jserp-result_job-search-card-subtitle,"Scottsdale, AZ"
"Marketing Specialist, Social Media & Content (Hybrid)",https://www.linkedin.com/jobs/view/marketing-specialist-social-media-content-hybrid-at-mercury-marine-3938029390?refId=lSbqF1TWSgjzhKwQLOTGVQ%3D%3D&trackingId=ZgRs%2FFONDh1f9Rgkpbka3A%3D%3D&position=17&pageNum=38&trk=public_jobs_jserp-result_search-card,1 week ago,Mercury Marine,https://www.linkedin.com/company/mercury-marine?trk=public_jobs_jserp-result_job-search-card-subtitle,"Fond du Lac, WI"
"Manager, Social Media - - Remote | WFH",https://www.linkedin.com/jobs/view/manager-social-media-remote-wfh-at-get-it-recruit-marketing-3937872250?refId=lSbqF1TWSgjzhKwQLOTGVQ%3D%3D&trackingId=1DFuOk0WPKd%2FDeOQCG6KRQ%3D%3D&position=18&pageNum=38&trk=public_jobs_jserp-result_search-card,1 week ago,Get It Recruit - Marketing,https://www.linkedin.com/company/get-it-recruit-marketing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Austin, TX"
Social Media Manager (Hybrid),https://www.linkedin.com/jobs/view/social-media-manager-hybrid-at-cella-3943559979?refId=lSbqF1TWSgjzhKwQLOTGVQ%3D%3D&trackingId=%2F8FLDsfMnxhNAANSGDmhoQ%3D%3D&position=20&pageNum=38&trk=public_jobs_jserp-result_search-card,4 days ago,Cella,https://www.linkedin.com/company/cella-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dallas, TX"
Social Media Specialist,https://www.linkedin.com/jobs/view/social-media-specialist-at-argon-agency-3945136086?refId=1Yzc2TZG%2FZmZGZmwLilMfA%3D%3D&trackingId=iw1GKpov8YIY5lcRZqP6Eg%3D%3D&position=3&pageNum=39&trk=public_jobs_jserp-result_search-card,3 days ago,Argon Agency,https://www.linkedin.com/company/argonagency?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lake Worth, FL"
Social Media Supervisor,https://www.linkedin.com/jobs/view/social-media-supervisor-at-sandlot-co-3942663772?refId=1Yzc2TZG%2FZmZGZmwLilMfA%3D%3D&trackingId=oz3A7Y4%2FzeWHo96CWwZBrA%3D%3D&position=5&pageNum=39&trk=public_jobs_jserp-result_search-card,5 days ago,Sandlot & Co.,https://www.linkedin.com/company/sandlotstrategic?trk=public_jobs_jserp-result_job-search-card-subtitle,"Kansas City, MO"
"Senior Director, Social Media - Executive Thought Leadership - - Remote | WFH",https://www.linkedin.com/jobs/view/senior-director-social-media-executive-thought-leadership-remote-wfh-at-get-it-recruit-marketing-3937779467?refId=1Yzc2TZG%2FZmZGZmwLilMfA%3D%3D&trackingId=oXo3i5SmlEf77PA%2FsKxuWA%3D%3D&position=14&pageNum=39&trk=public_jobs_jserp-result_search-card,1 week ago,Get It Recruit - Marketing,https://www.linkedin.com/company/get-it-recruit-marketing?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco, CA"
Social Media Manager - Breastfeeding/Women's Health,https://www.linkedin.com/jobs/view/social-media-manager-breastfeeding-women-s-health-at-legendairy-milk-3937284597?refId=1Yzc2TZG%2FZmZGZmwLilMfA%3D%3D&trackingId=a0erHXF%2FCeRQy7utSnCMBw%3D%3D&position=15&pageNum=39&trk=public_jobs_jserp-result_search-card,1 week ago,Legendairy Milk,https://www.linkedin.com/company/legendairy-milk?trk=public_jobs_jserp-result_job-search-card-subtitle,"Austin, Texas Metropolitan Area"
Social Media Manager,https://www.linkedin.com/jobs/view/social-media-manager-at-credit-union-1-3944627047?refId=1Yzc2TZG%2FZmZGZmwLilMfA%3D%3D&trackingId=F4DwFZCQ9qfEv6smVdRooQ%3D%3D&position=16&pageNum=39&trk=public_jobs_jserp-result_search-card,4 days ago,Credit Union 1,https://www.linkedin.com/company/credit-union-1?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lombard, IL"
Events and Social Media Coordinator,https://www.linkedin.com/jobs/view/events-and-social-media-coordinator-at-veic-3939289318?refId=1Yzc2TZG%2FZmZGZmwLilMfA%3D%3D&trackingId=w5nHLVnbl6oAfrxdxhn2fQ%3D%3D&position=17&pageNum=39&trk=public_jobs_jserp-result_search-card,6 days ago,VEIC,https://www.linkedin.com/company/veic?trk=public_jobs_jserp-result_job-search-card-subtitle,"District of Columbia, United States"
